date,turnover,cost,optimizer_cost,rounding_cost,status,solver_status,allocator,weights_pre_rounding,heuristic_method,heuristic_diagnostics
2011-01-06,0.5,0.0009999999999999998,999.9999999999998,0.0,above,optimal,optimizer,"{'SPY': 2.381670377111828e-07, 'QQQ': 1.4001103238672166e-07, 'IWM': 0.0999999006888615, 'EFA': 3.245700982329656e-08, 'VGK': 2.3853451051722343e-08, 'VPL': 8.952516671785993e-08, 'EWJ': 0.09999978829862523, 'EWG': 2.4035075265192616e-08, 'EEM': 3.0342868814266444e-08, 'EWZ': 2.7691915572730122e-08, 'EWU': 3.3629758929010423e-08, 'EZA': 6.747359121218832e-08, 'XLY': 2.2720061881135548e-07, 'XLP': 0.09999971927126741, 'XLE': 0.09999989521243369, 'XLF': 0.09999956878303853, 'XLV': 6.879457370891568e-08, 'XLK': 1.0913400304648653e-07, 'XLI': 0.09999617832779713, 'XLB': 2.659034994111618e-07, 'XLU': 3.1140155607667615e-07, 'VYM': 1.611675443710536e-07, 'VUG': 1.5937850201652353e-07, 'VTV': 0.05700192320414141, 'VNQ': 2.8360826834081187e-08, 'VNQI': 3.547085561349043e-08, 'O': 3.0230321626897296e-08, 'PSA': 2.4320887917935594e-08, 'SHY': 0.09999995152860153, 'IEI': 0.050000069159210986, 'IEF': 3.3635895343712405e-08, 'TLT': 2.805113260290897e-08, 'TIP': 3.787896682214746e-08, 'VGSH': 7.406723600314325e-08, 'VGIT': 3.959907395675379e-08, 'AGG': 4.9223295593929293e-08, 'MUB': 2.9981650303834435e-08, 'LQD': 4.1244875870344154e-08, 'HYG': 7.573632675455507e-08, 'VCIT': 3.796704509480393e-08, 'VCSH': 5.744021333579339e-08, 'EMB': 2.751119657730536e-08, 'EMLC': 3.07867832728761e-08, 'GLD': 3.7512564326356964e-08, 'SLV': 0.06326974272022513, 'PPLT': 2.8281531668379227e-08, 'DBC': 5.830355663135138e-08, 'USO': 3.680548409816853e-08, 'UNG': 0.029730391557777108, 'DBA': 5.942793829972798e-08, 'CORN': 2.6814492058546007e-08, 'UUP': 0.0999999324286648}",,
2011-02-09,0.012003459820856037,2.4010461672952454e-05,24.010461672952452,0.0,below,optimal,optimizer,"{'SPY': 7.641259097887603e-08, 'QQQ': 5.87832730835574e-08, 'IWM': 0.10000000038090406, 'EFA': 3.258011657521194e-08, 'VGK': 2.7916022792884623e-08, 'VPL': 4.6176422330549285e-08, 'EWJ': 0.10000000038131335, 'EWG': 3.94304183510083e-08, 'EEM': 1.4526457655445897e-08, 'EWZ': 1.182676676233388e-08, 'EWU': 2.9884320403036224e-08, 'EZA': 1.4678330526137728e-08, 'XLY': 7.697792311576512e-08, 'XLP': 0.09999979696326272, 'XLE': 0.1000000003813659, 'XLF': 0.10000000038111616, 'XLV': 3.31570107677326e-08, 'XLK': 5.943061228537947e-08, 'XLI': 0.10000000038139985, 'XLB': 4.852857614205423e-08, 'XLU': 2.2112628816679797e-07, 'VYM': 6.452159682587934e-08, 'VUG': 6.32628908918543e-08, 'VTV': 0.058058763024696085, 'VNQ': 2.9943098445419194e-08, 'VNQI': 2.004328246393934e-08, 'O': 2.8689164145514423e-08, 'PSA': 3.533687777363872e-08, 'SHY': 0.09999994401523932, 'IEI': 0.05000006915818953, 'IEF': 2.3575091418747434e-08, 'TLT': 2.0177681641714647e-08, 'TIP': 2.4157236775603018e-08, 'VGSH': 3.73597317072124e-08, 'VGIT': 2.6085206224488346e-08, 'AGG': 3.000486650821185e-08, 'MUB': 2.2835649481242246e-08, 'LQD': 2.8003863733567418e-08, 'HYG': 4.081113080114661e-08, 'VCIT': 2.774539243250974e-08, 'VCSH': 3.4786927619866446e-08, 'EMB': 1.887673276535521e-08, 'EMLC': 2.0488861652148432e-08, 'GLD': 2.307167223841029e-08, 'SLV': 0.064065067817506, 'PPLT': 3.351840334544888e-08, 'DBC': 7.572998488473176e-08, 'USO': 1.9865580304491562e-08, 'UNG': 0.02669929839948424, 'DBA': 0.007395186908471773, 'CORN': 9.853208301019086e-08, 'UUP': 0.09378023294891356}",,
2011-03-15,0.010417552237982497,2.0835001990503048e-05,20.83500199050305,0.0,below,optimal,optimizer,"{'SPY': -8.146568030511127e-12, 'QQQ': -8.19467367900612e-12, 'IWM': 0.09912327291249023, 'EFA': 2.0579011791639072e-07, 'VGK': 1.399232431701369e-07, 'VPL': 3.066361603622463e-08, 'EWJ': 0.09999194983780096, 'EWG': 4.170451261561923e-06, 'EEM': 1.4219669700905586e-08, 'EWZ': 1.3755287500039578e-08, 'EWU': 3.445558849646155e-06, 'EZA': 1.4222925584098e-08, 'XLY': -8.183597889839127e-12, 'XLP': 0.09999999999841191, 'XLE': 0.09999999763544888, 'XLF': 0.09753003164676975, 'XLV': -8.152915493993905e-12, 'XLK': -8.162587309198399e-12, 'XLI': 0.09777645584968599, 'XLB': -8.166852515157416e-12, 'XLU': 2.5336425066571378e-12, 'VYM': -8.141280099543079e-12, 'VUG': -8.191013321248955e-12, 'VTV': 0.05772109411842565, 'VNQ': -8.213288231280161e-12, 'VNQI': 1.555725408101606e-08, 'O': -8.207314811822391e-12, 'PSA': -8.202090691153214e-12, 'SHY': 0.09999999721630974, 'IEI': 0.05179590541630149, 'IEF': -8.247266534696019e-12, 'TLT': -8.246913112923069e-12, 'TIP': -8.198702565967779e-12, 'VGSH': -8.196049154171059e-12, 'VGIT': -8.245188284141788e-12, 'AGG': -8.198467047661717e-12, 'MUB': -8.213150350183042e-12, 'LQD': -8.202184152214353e-12, 'HYG': -8.202659400190236e-12, 'VCIT': -8.199661259964671e-12, 'VCSH': -8.196778698601677e-12, 'EMB': -8.22347308524635e-12, 'EMLC': -8.221538301280667e-12, 'GLD': -8.196130140742321e-12, 'SLV': 0.0736759449691782, 'PPLT': -8.2298652667642e-12, 'DBC': -8.182788419378769e-12, 'USO': -8.179086847342358e-12, 'UNG': 0.021732477715411074, 'DBA': 0.006935798662193437, 'CORN': -8.233411289820182e-12, 'UUP': 0.09370902411458924}",,
2011-04-15,0.007469836891645819,1.4935281460636687e-05,14.935281460636686,0.0,below,optimal,optimizer,"{'SPY': -1.461506175415643e-10, 'QQQ': -1.4662483970292548e-10, 'IWM': 0.09999995715861013, 'EFA': 1.3958962566348687e-07, 'VGK': 1.552370634215955e-07, 'VPL': 8.045397344916897e-08, 'EWJ': 0.09614928558073264, 'EWG': 0.003846682301185732, 'EEM': 9.165619874529282e-08, 'EWZ': 6.943234732205695e-08, 'EWU': 3.321352781735948e-06, 'EZA': 8.62807485491659e-08, 'XLY': -1.4620225573330426e-10, 'XLP': 0.10000000004721524, 'XLE': 0.09951946104331076, 'XLF': 0.09395309130046034, 'XLV': -1.4600473575450068e-10, 'XLK': -1.4665600174969757e-10, 'XLI': 0.09761073154632055, 'XLB': -1.4664113678728391e-10, 'XLU': -8.026707875603251e-11, 'VYM': -1.4588951533705326e-10, 'VUG': -1.464116465676539e-10, 'VTV': 0.05744735806897111, 'VNQ': -1.4669647733414521e-10, 'VNQI': 8.779404033677972e-08, 'O': -1.4659443914977655e-10, 'PSA': -1.4662069434306094e-10, 'SHY': 0.09999964735651373, 'IEI': 0.05000035231831764, 'IEF': -1.4640259345775464e-10, 'TLT': -1.463177581635442e-10, 'TIP': -1.4599321613559416e-10, 'VGSH': -1.4608621445950907e-10, 'VGIT': -1.463683756887851e-10, 'AGG': -1.461240008558095e-10, 'MUB': -1.4647573981768672e-10, 'LQD': -1.4617143443188422e-10, 'HYG': -1.4616312153502934e-10, 'VCIT': -1.4613469313315486e-10, 'VCSH': -1.4606648007104962e-10, 'EMB': -1.4678722958935278e-10, 'EMLC': -1.464532443572534e-10, 'GLD': -1.4596277561726367e-10, 'SLV': 0.0882338054014002, 'PPLT': -1.4708486388490057e-10, 'DBC': -1.4544602408302195e-10, 'USO': -1.4524300127546394e-10, 'UNG': 0.017748259385305942, 'DBA': 0.007048540383735771, 'CORN': -1.4621991811777538e-10, 'UUP': 0.08843880063340108}",,
2011-05-19,0.010287002591004565,2.0573311316059413e-05,20.573311316059414,0.0,below,optimal,optimizer,"{'SPY': 2.7372959431205706e-08, 'QQQ': 2.7626008441632925e-08, 'IWM': 0.10000000085133856, 'EFA': 2.476929312692812e-08, 'VGK': 2.8074974534578636e-08, 'VPL': 2.1505519972273207e-08, 'EWJ': 0.0983042574740512, 'EWG': 0.003954333644294221, 'EEM': 1.6647409572423937e-08, 'EWZ': 1.3538608364202357e-08, 'MCHI': 2.132619973011451e-08, 'EWU': 3.3562485651022517e-06, 'EZA': 1.4956186957537307e-08, 'XLY': 3.9251714514805934e-08, 'XLP': 0.10000000085421493, 'XLE': 0.09750191382993399, 'XLF': 0.09406662229115227, 'XLV': 0.01028066942355557, 'XLK': 2.6755487212426285e-08, 'XLI': 0.1000000007368605, 'XLB': 1.6451464558117684e-08, 'XLU': 3.1152277296916834e-07, 'VYM': 3.6695520533639385e-08, 'VUG': 2.7810808728103882e-08, 'VTV': 0.059261818822950056, 'VNQ': 4.5837308415902184e-08, 'VNQI': 2.6948469534235126e-08, 'O': 3.357412494065114e-08, 'PSA': 5.554462036613004e-08, 'SHY': 0.10000000086389954, 'IEI': 0.05158758653859832, 'IEF': 1.236033163794366e-07, 'TLT': 4.049590517095649e-06, 'TIP': 4.71581276712687e-08, 'VGSH': 3.73218659046528e-08, 'VGIT': 7.257094715327159e-08, 'AGG': 5.909034553632406e-08, 'MUB': 1.899071649007587e-07, 'LQD': 1.0394145289835757e-07, 'HYG': 3.979649845827532e-08, 'VCIT': 7.904820169158421e-08, 'VCSH': 4.424755060414706e-08, 'EMB': 5.214567222173305e-08, 'EMLC': 3.4099525892260316e-08, 'GLD': 3.12851780417213e-08, 'SLV': 0.07114317882194748, 'PPLT': 1.993454090082117e-08, 'DBC': 1.3121257295734898e-08, 'USO': 1.0281197152031281e-08, 'UNG': 0.01715812548000193, 'DBA': 0.006885760689543975, 'CORN': 2.3291385306273886e-08, 'UUP': 0.0898465267848953}",,
2011-06-22,0.002694474654094264,5.386630988137532e-06,5.386630988137532,0.0,below,optimal,optimizer,"{'SPY': 1.214792766009928e-09, 'QQQ': 1.061879458041133e-09, 'IWM': 0.0974583469264262, 'EFA': 1.0621952059612883e-09, 'VGK': 1.0247426683595104e-09, 'VPL': 1.154613975966463e-09, 'EWJ': 0.1000000000560356, 'EWG': 0.003961915580858573, 'EEM': 1.1084440847857493e-09, 'EWZ': 1.2852754390976627e-09, 'MCHI': 1.0858591238627503e-09, 'EWU': 3.2171561277894026e-06, 'EZA': 1.0602847188220896e-09, 'XLY': 1.1691833212890987e-09, 'XLP': 0.09845952467135534, 'XLE': 0.09731414855986069, 'XLF': 0.09033368186432565, 'XLV': 0.010164593192850888, 'XLK': 1.0728626287097373e-09, 'XLI': 0.0977310048227735, 'XLB': 1.0649374232691207e-09, 'XLU': 0.001540454620017953, 'VYM': 1.4123755923809666e-09, 'SPLV': 2.1487994798968518e-08, 'VUG': 1.181068041872812e-09, 'VTV': 0.05790485746486903, 'VNQ': 1.3298394377396667e-09, 'VNQI': 1.248625186651684e-09, 'O': 1.1457170688396224e-09, 'PSA': 1.233022295264704e-09, 'SHY': 0.10000000006971776, 'IEI': 0.05333670379360427, 'IEF': 2.916794659014577e-07, 'TLT': 0.0011569638668043076, 'TIP': 3.89625602275892e-09, 'VGSH': 3.6081444333621463e-09, 'VGIT': 2.629091566675577e-08, 'AGG': 5.683263164027934e-09, 'MUB': 5.433640137508828e-09, 'LQD': 5.159519152353341e-09, 'HYG': 1.697289641480273e-09, 'VCIT': 6.379445008510602e-09, 'VCSH': 4.2286014026359555e-09, 'EMB': 3.966233172571318e-09, 'EMLC': 2.6643503810641652e-09, 'GLD': 2.91538157699745e-08, 'SLV': 0.07468458690725663, 'PPLT': 1.6235893291681933e-09, 'DBC': 1.5567780712264726e-09, 'USO': 9.066997824885892e-10, 'UNG': 0.018025180277394373, 'DBA': 0.006915801497006229, 'CORN': 1.46933281632147e-09, 'UUP': 0.09100858087166232}",,
2011-07-26,0.006874350914909479,1.374834685081114e-05,13.74834685081114,0.0,below,optimal,optimizer,"{'SPY': 3.194066329704933e-08, 'QQQ': 3.534374081874649e-08, 'IWM': 0.09780984487267001, 'EFA': 2.535173037591806e-08, 'VGK': 2.2091365203950336e-08, 'VPL': 3.5038005122056333e-08, 'EWJ': 0.10000000100119712, 'EWG': 0.003936563199273141, 'EEM': 2.8887767194634257e-08, 'EWZ': 2.868019072451626e-08, 'MCHI': 2.872061238008992e-08, 'EWU': 3.238887205302418e-06, 'EZA': 2.7346074138830737e-08, 'XLY': 3.317298782241167e-08, 'XLP': 0.09646218379379887, 'XLE': 0.10000000100422812, 'XLF': 0.08885124397139435, 'XLV': 0.00983037633454705, 'XLK': 3.4684296593438314e-08, 'XLI': 0.09497718123171986, 'XLB': 2.7386061742072976e-08, 'XLU': 0.0035376282285193242, 'VYM': 3.6143325772094555e-08, 'SPLV': 2.1724823590511957e-07, 'VUG': 3.432495803589741e-08, 'VTV': 0.05717382699641153, 'VNQ': 3.967268186862813e-08, 'VNQI': 3.4629826336396273e-08, 'O': 2.902423915119574e-08, 'PSA': 5.479125239941071e-08, 'SHY': 0.09730980533663437, 'IEI': 0.0526902553484744, 'IEF': 5.273138106430044e-07, 'TLT': 0.001116471714791089, 'TIP': 1.377574859952864e-07, 'VGSH': 7.575617677702062e-08, 'VGIT': 1.7126615871929067e-07, 'AGG': 9.80206493137365e-08, 'MUB': 1.0219187702263952e-07, 'LQD': 9.97531726267942e-08, 'HYG': 5.243815319226114e-08, 'VCIT': 1.1565821435732295e-07, 'VCSH': 8.814616486229454e-08, 'EMB': 9.336537718742987e-08, 'EMLC': 7.020274670721632e-08, 'GLD': 0.004316860077486456, 'SLV': 0.08103029746855518, 'PPLT': 4.856980023774259e-08, 'DBC': 5.101501438124421e-08, 'USO': 2.166123120664631e-08, 'UNG': 0.017508395671407027, 'DBA': 0.006829554135875369, 'CORN': 4.891969281582461e-08, 'UUP': 0.08661366421207062}",,
2011-08-26,0.008942717482802308,1.7884933806358458e-05,17.884933806358458,0.0,below,optimal,optimizer,"{'SPY': 6.531162761227887e-09, 'QQQ': 6.683661903524428e-09, 'IWM': 0.08863525110320382, 'EFA': 2.2441001615376327e-08, 'VGK': 1.48907603935856e-08, 'VPL': 1.0886202617902354e-07, 'EWJ': 0.09678658203780631, 'EWG': 0.0032097110962387185, 'EEM': 2.5668006647121492e-08, 'EWZ': 2.8670746428777558e-08, 'MCHI': 2.9748069213712776e-07, 'EWU': 3.126750551873984e-06, 'EZA': 3.0579688337181495e-08, 'XLY': 6.5339899348701735e-09, 'XLP': 0.1000000007014189, 'XLE': 0.09014950806852695, 'XLF': 0.08064150420633572, 'XLV': 0.00989641232883488, 'XLK': 6.83115208689679e-09, 'XLI': 0.08822258576143979, 'XLB': 5.758833970612288e-09, 'XLU': 0.0037737146544202945, 'VYM': 7.498838267221216e-09, 'SPLV': 8.669633593398609e-09, 'VUG': 6.513580304852641e-09, 'VTV': 0.05468875092134943, 'VNQ': 6.213417687994814e-09, 'VNQI': 6.310049621891107e-08, 'O': 7.28912753830278e-09, 'PSA': 7.322262053673077e-09, 'SHY': 0.10000000072534017, 'IEI': 0.059437172801698905, 'IEF': 3.3516285822376224e-08, 'TLT': 0.00979429004791782, 'TIP': 2.4829843474304173e-08, 'VGSH': 1.7536562698076542e-08, 'VGIT': 2.366953469231371e-08, 'AGG': 2.0244861028570665e-08, 'MUB': 1.9052653132906286e-08, 'LQD': 1.8920337180965153e-08, 'HYG': 9.671437486272251e-09, 'VCIT': 1.7769605395441017e-08, 'VCSH': 1.7468580153886187e-08, 'EMB': 1.7414076993993366e-08, 'EMLC': 1.3498732527919657e-08, 'GLD': 0.005312913528068562, 'SLV': 0.08915374369847755, 'PPLT': 1.4290063392176823e-08, 'DBC': 1.0357504187015035e-08, 'USO': 5.9922393928142806e-09, 'UNG': 0.01727353964647545, 'DBA': 0.0077600229664062815, 'CORN': 1.357886105155977e-08, 'UUP': 0.0952602236052314}",,
2011-09-29,0.01394753611823349,2.7892926739610233e-05,27.892926739610232,0.0,below,optimal,optimizer,"{'SPY': 3.084317757957538e-09, 'QQQ': 3.362302727977941e-09, 'IWM': 0.08828079950195496, 'EFA': 2.641802896676204e-09, 'VGK': 2.370201722616775e-09, 'VPL': 3.1685130158124565e-09, 'EWJ': 0.10000000028496676, 'EWG': 0.0031316746490487584, 'EEM': 2.5695311741442195e-09, 'EWZ': 2.5573314971759446e-09, 'MCHI': 3.0036791859575688e-09, 'EWU': 2.837618064165862e-06, 'EZA': 2.6552281204657834e-09, 'XLY': 3.1858141415534717e-09, 'XLP': 0.10000000028519049, 'XLE': 0.0856791132347719, 'XLF': 0.08005803686664519, 'XLV': 0.010293259352154988, 'XLK': 3.3779401598451492e-09, 'XLI': 0.08973414123524995, 'XLB': 2.5022878514724363e-09, 'XLU': 0.004080611256052338, 'VYM': 3.5130479286954403e-09, 'SPLV': 4.017753905812749e-09, 'VUG': 3.1325844796432143e-09, 'VTV': 0.055990033196366217, 'VNQ': 2.8728537951472924e-09, 'VNQI': 2.9178796993967005e-09, 'O': 3.546768044179225e-09, 'PSA': 3.3378578543018128e-09, 'SHY': 0.10000000027700291, 'IEI': 0.06183131399873186, 'IEF': 8.007691595324508e-09, 'TLT': 0.025010740281052313, 'TIP': 7.085040528793504e-09, 'VGSH': 6.300419710356793e-09, 'VGIT': 7.036883035531963e-09, 'AGG': 6.6925312484311984e-09, 'MUB': 6.54028987158427e-09, 'LQD': 6.531624055858758e-09, 'HYG': 4.4792271193410316e-09, 'VCIT': 6.27541054927019e-09, 'VCSH': 6.20868043742126e-09, 'EMB': 5.876665456703174e-09, 'EMLC': 4.8199790979353e-09, 'GLD': 0.004884947867533727, 'SLV': 0.06699765222435852, 'PPLT': 4.58971175638521e-09, 'DBC': 4.078462137640611e-09, 'USO': 2.859112642930215e-09, 'UNG': 0.016732795738210803, 'DBA': 0.007291892163572262, 'CORN': 4.519321463156915e-09, 'UUP': 0.1000000002503249}",,
2011-11-01,0.0041743777062388295,8.34381464513378e-06,8.343814645133781,0.0,below,optimal,optimizer,"{'SPY': -2.0322422642932625e-11, 'QQQ': -2.021003298700477e-11, 'IWM': 0.09159247512510788, 'EFA': 1.9352082306383205e-09, 'VGK': 1.1511713511594379e-09, 'VPL': 4.270861528418507e-09, 'EWJ': 0.09686923214189336, 'EWG': 0.003127928468759276, 'EEM': 1.7523555345985744e-09, 'EWZ': 2.072327169156256e-09, 'MCHI': 4.820095118186267e-09, 'EWU': 2.8171918662912203e-06, 'EZA': 1.845988921700435e-09, 'XLY': -2.026580793731329e-11, 'XLP': 0.09898837944012392, 'XLE': 0.09260920766335896, 'XLF': 0.07674538636421321, 'XLV': 0.010240498349298332, 'XLK': -2.0220119684729603e-11, 'XLI': 0.0931416859208241, 'XLB': -2.056691991294012e-11, 'XLU': 0.003981224071269846, 'VYM': -2.0170203697609475e-11, 'SPLV': -2.0060752105241098e-11, 'VUG': -2.029361655697402e-11, 'VTV': 0.05677793264388916, 'VNQ': -2.0439161466188227e-11, 'VNQI': 4.307599557344845e-09, 'O': -2.0265997849022066e-11, 'PSA': -2.024560846193025e-11, 'SHY': 0.09747145135217342, 'IEI': 0.060535452981300995, 'IEF': -1.910997428597971e-11, 'TLT': 0.024716695898346408, 'TIP': -1.9327673218574942e-11, 'VGSH': -1.9491551507093147e-11, 'VGIT': -1.9241108767937174e-11, 'AGG': -1.9405484283784318e-11, 'MUB': -1.9450624812002552e-11, 'LQD': -1.941437803900475e-11, 'HYG': -1.9875216159685516e-11, 'VCIT': -1.945840216167302e-11, 'VCSH': -1.9495708019631488e-11, 'EMB': -1.9556987276548413e-11, 'EMLC': -1.9806215432747686e-11, 'GLD': 0.00503939301203278, 'SLV': 0.06981570039073115, 'PPLT': -1.986454543585586e-11, 'DBC': -2.0009306793339963e-11, 'USO': -2.0372404296217712e-11, 'UNG': 0.01524546998165341, 'DBA': 0.00702111067442831, 'CORN': -1.9883116268917654e-11, 'UUP': 0.09607793670994917}",,
