date,turnover
2021-02-04,0.00011695461955673584
2021-02-09,9.627366794720966e-05
2021-02-10,9.636483017217824e-05
2021-02-11,9.267472450331348e-05
2021-02-12,9.26602605869792e-05
2021-02-16,9.023117703633584e-05
2021-02-17,8.507244044459441e-05
2021-02-18,8.849673848629478e-05
2021-02-19,9.018434885822142e-05
2021-02-22,8.75486663156019e-05
2021-02-23,8.967449078155524e-05
2021-02-24,8.611616374980916e-05
2021-02-25,0.0001085389325914287
2021-02-26,0.00011101085783882392
2021-03-01,0.00010694907979592297
2021-03-02,0.00011108263456994869
2021-03-03,0.00011889716316740249
2021-03-04,0.00012460822876552823
2021-03-05,0.00012120842037885728
2021-03-08,0.00012687901116645252
2021-03-09,0.0001332590728046463
2021-03-10,0.00013249204346516203
2021-03-15,0.000132913792094983
2021-03-16,0.00013327518585462916
2021-03-17,0.00013598476516976204
2021-03-18,0.00014873009793576014
2021-03-19,0.0001450330721817968
2021-03-22,0.00014718751736731014
2021-03-23,0.00015265857556519488
2021-03-24,0.00014899376358310537
2021-03-25,0.00014886304696101863
2021-03-26,0.00014688168309042623
2021-03-29,0.00015311398757501278
2021-03-30,0.0001293486023173523
2021-03-31,0.000124560409199608
2021-04-01,0.00012735218457220847
2021-04-05,0.00012893421594579847
2021-04-06,0.00012548856547289707
2021-04-07,0.00012004314603624038
2021-04-08,0.00012298323657433227
2021-04-09,0.0001194038432001913
2021-04-12,0.00011464056958319941
2021-04-13,0.00012118591476723418
2021-04-16,0.00012668302053576514
2021-04-19,0.00012877727620719704
2021-04-20,0.000130264830899948
2021-04-21,0.00011607373883433417
2021-04-22,0.00011716038411444039
2021-04-23,0.0001130521353436237
2021-04-26,0.0001065130841912999
2021-04-27,0.0001069938688579318
2021-04-28,0.00010707786140933952
2021-04-29,0.00010875626945869952
2021-04-30,0.00010740114899014143
2021-05-03,0.00010024556513862192
2021-05-04,9.429490326565433e-05
2021-05-05,9.93136623474505e-05
2021-05-06,9.583655856238717e-05
2021-05-07,8.817625229443715e-05
2021-05-10,9.242264737445526e-05
2021-05-11,8.739426616178239e-05
2021-05-12,9.178518645024003e-05
2021-05-13,8.809636958135915e-05
2021-05-14,8.17799363454601e-05
2021-05-19,7.836036345086104e-05
2021-05-20,7.86991829769239e-05
2021-05-21,7.711661030392677e-05
2021-05-24,7.512873268596534e-05
2021-05-25,7.49204980803401e-05
2021-05-26,7.679605272679152e-05
2021-05-27,7.517582771935058e-05
2021-05-28,7.237588122468771e-05
2021-06-01,7.504697699663152e-05
2021-06-02,7.55714854874339e-05
2021-06-03,7.567329708578106e-05
2021-06-04,8.648502413587339e-05
2021-06-07,8.420355995832197e-05
2021-06-08,8.062944351480769e-05
2021-06-09,8.127935538329815e-05
2021-06-10,8.485378548039482e-05
2021-06-11,7.987088928968054e-05
2021-06-14,8.401034234290864e-05
2021-06-15,7.581986944921532e-05
2021-06-16,8.555046995683047e-05
2021-06-17,8.413642273375429e-05
2021-06-22,7.884402698170857e-05
2021-06-23,7.74859369004238e-05
2021-06-24,7.584890041883953e-05
2021-06-25,7.572835799192e-05
2021-06-28,7.847563947872381e-05
2021-06-29,7.69481983358357e-05
2021-06-30,8.262806615553858e-05
2021-07-01,8.147135537470513e-05
2021-07-02,8.209660799519463e-05
2021-07-06,8.305088683559228e-05
2021-07-07,8.185940953311702e-05
2021-07-08,7.30741055133675e-05
2021-07-09,7.20111194537975e-05
2021-07-12,7.06040711007494e-05
2021-07-13,7.030022288212369e-05
2021-07-14,7.110328855741178e-05
2021-07-15,7.50429853689075e-05
2021-07-16,6.804919234044798e-05
2021-07-19,6.996141146429274e-05
2021-07-20,6.671334337275035e-05
2021-07-21,6.783099842397894e-05
2021-07-26,6.781325117280418e-05
2021-07-27,6.535363247071226e-05
2021-07-28,6.459518691143655e-05
2021-07-29,6.654380414121655e-05
2021-07-30,6.0622892129421786e-05
2021-08-02,6.352250862790227e-05
2021-08-03,6.101144164123513e-05
2021-08-04,6.365150099669666e-05
2021-08-05,6.12387204124881e-05
2021-08-06,6.138053341182572e-05
2021-08-09,6.0721365928987615e-05
2021-08-10,5.9856342545052386e-05
2021-08-11,6.176230422512333e-05
2021-08-12,5.856199606798399e-05
2021-08-13,5.824482744551779e-05
2021-08-16,5.533140154811257e-05
2021-08-17,5.1641105190130656e-05
2021-08-18,5.2796184154833514e-05
2021-08-19,5.03233362093397e-05
2021-08-20,4.6097334914245414e-05
2021-08-23,4.4640408143890646e-05
2021-08-26,4.371757151267864e-05
2021-08-27,5.0648681158619594e-05
2021-08-30,5.2163434187876735e-05
2021-08-31,5.427521037269816e-05
2021-09-01,5.4518581240185304e-05
