ticker,weight
GLD,0.14999999998662628
BITO,0.14999999997778926
SLV,0.14999999993204222
FXI,0.14999999985234475
EWG,0.14999999978192574
EWJ,0.10464156921844785
EWU,0.0860856934063142
VUG,0.0592715067831258
QQQ,1.2270032107749721e-06
EEM,1.542025060275793e-09
VGK,8.146490802184678e-10
EFA,3.082044264544813e-10
EMB,2.000311966712108e-10
VWO,1.66044612969271e-10
IEF,1.3538310944921207e-10
SPY,1.1334268765242559e-10
VNQI,1.0437974892632594e-10
LQD,1.0017956528185749e-10
EWZ,9.979441674252081e-11
SHY,8.903004303214136e-11
HYG,8.734261502842315e-11
TLT,6.614655037551859e-11
IWM,5.2756976879678076e-11
VTV,5.224829809434166e-11
DBC,4.8326303812087495e-11
USO,3.327466400121281e-11
INDA,2.2618979822216075e-11
VNQ,2.239487263852958e-11
