ticker,weight
PPLT,0.09999999997649417
SLV,0.09999999997435409
GLD,0.09999999997026209
XLC,0.0999999998721238
XLK,0.09999999980353644
MCHI,0.099999980632946
VUG,0.09999996611982799
QQQ,0.0999838090298403
MTUM,0.07777487645069328
EWU,0.05842416886603631
FBTC,0.038356601085330636
EZA,0.025460525182035395
XLU,6.62377669219595e-08
IBIT,1.2961849443004188e-09
VLUE,7.242126951904925e-10
GBTC,2.966820144370231e-10
XLE,2.492218241588441e-10
VPL,2.3106058311352628e-10
EWJ,1.5806237776853308e-10
EMLC,1.5050009666455548e-10
VGK,1.3979333684049088e-10
EMB,1.380970925710615e-10
TIP,1.336905018791456e-10
EWZ,1.3269668395175336e-10
EEM,1.3259068855239666e-10
VCIT,1.2581401559722164e-10
VGIT,1.1563865329933313e-10
IEF,1.1398337282033302e-10
IEI,1.1300468636790669e-10
BNDX,1.0806360300248683e-10
AGG,1.0713007783014748e-10
UUP,1.0234343485250654e-10
EFA,9.799944211411626e-11
EWG,9.505703250651107e-11
VCSH,9.487492769831551e-11
VGSH,9.375103800167177e-11
MUB,9.14773143127326e-11
LQD,9.110951164019878e-11
XLF,9.080651411688136e-11
TLT,8.847213867245553e-11
SHY,8.508116671924527e-11
VNQI,8.308940500135997e-11
VYM,7.484503421121371e-11
HYG,7.280118363619796e-11
DBC,7.139345317707828e-11
XLY,7.126414981702899e-11
XLI,7.114257353357851e-11
SPY,7.056930825169675e-11
DBA,7.056048668852729e-11
O,6.891067083882024e-11
VTV,6.272959497392754e-11
CORN,5.6961586544299475e-11
XLRE,4.867608596310498e-11
XLB,4.395408428479863e-11
QUAL,4.3258327370916774e-11
SPLV,4.2832733340279256e-11
USO,4.1559112493082254e-11
VNQ,4.1520955125195154e-11
XLV,4.0961935753980065e-11
INDA,3.8808640625624366e-11
ETHA,3.736647197293929e-11
PSA,3.6190357556197296e-11
USMV,3.614865591109207e-11
ETHE,3.341101625709672e-11
XLP,3.098644532246291e-11
SIZE,2.937139082386915e-11
SCHD,2.8415083545793397e-11
IWM,2.82018594899142e-11
UNG,2.5422123883204262e-11
