ticker,weight
PPLT,0.09999999999030178
GLD,0.09999999998768024
SLV,0.09999999996848048
XLC,0.09999999990705316
FBTC,0.09999999641055737
MCHI,0.09999982789393229
EZA,0.09927407305131307
IBIT,0.09919466697823955
EWU,0.09345939614245834
VPL,0.06625738800046631
EWG,0.02138656128137782
VLUE,0.014632001887292257
UNG,0.0057958948197758785
EWJ,1.8920545646127505e-07
XLU,6.251510196234754e-10
XLK,4.855174749772328e-10
GBTC,3.812292857880593e-10
EMLC,1.7682743620648518e-10
VUG,1.7648326291547605e-10
EMB,1.7175927967796518e-10
IEF,1.6845359261302012e-10
VGIT,1.603199341301506e-10
MTUM,1.4894208622428277e-10
IEI,1.4454094638718623e-10
QQQ,1.1638221198049314e-10
VCIT,1.1619724368537015e-10
EEM,9.662899524624704e-11
VGK,8.893479695671146e-11
AGG,8.612106156520002e-11
VCSH,8.45831013698905e-11
TIP,7.753971182977592e-11
VGSH,7.627788861168395e-11
EFA,7.421646000099907e-11
SHY,6.849419702654724e-11
ETHA,6.384902521467805e-11
BNDX,5.821748187841076e-11
UUP,5.3104929772068126e-11
LQD,5.035798147224052e-11
HYG,4.294373041593511e-11
MUB,4.02164743262844e-11
EWZ,3.903499070580666e-11
ETHE,3.896002245015895e-11
XLY,3.876376357664808e-11
SPY,3.8732361725659726e-11
XLI,3.739590229104897e-11
TLT,3.685798444615675e-11
DBA,3.560836444093381e-11
XLF,3.366777965865005e-11
VNQI,3.3460761772190485e-11
VYM,3.220644517865875e-11
DBC,3.113998704251987e-11
VTV,2.5356915010477208e-11
USO,2.4815269109903262e-11
CORN,1.9050408513590776e-11
O,1.723549296456687e-11
USMV,1.5851518813242574e-11
XLB,1.5430209160270366e-11
QUAL,1.470356187591084e-11
PSA,1.3581062576478035e-11
SPLV,1.1697018579967335e-11
INDA,1.1416785275002571e-11
IWM,1.1410224698753909e-11
XLE,1.1253498779735773e-11
SIZE,1.0537524999544792e-11
XLP,9.23392315787952e-12
SCHD,9.121414817588854e-12
VNQ,9.066609547508551e-12
XLRE,9.031722034873772e-12
XLV,7.703887603153856e-12
