ticker,weight
GLD,0.09999999998695011
PPLT,0.09999999997623878
XLC,0.09999999990342802
SLV,0.0999999998466817
VGIT,0.09999999919730057
IEI,0.09999999917400298
IEF,0.08959259182102083
FBTC,0.07444473993590008
VLUE,0.06521868281511115
MCHI,0.056676877589841336
EWU,0.03547877962788485
EMLC,0.03247385714170468
IBIT,0.02533463042079411
UUP,0.012456886164341001
UNG,0.0049096376224423855
EWG,0.0034099200494075877
EWJ,2.5912504853887745e-06
EMB,5.29157318931525e-07
XLU,1.3296576845700766e-07
VGSH,5.994839284304568e-08
VPL,5.6676333712186845e-08
VCSH,1.5747528044005878e-08
VCIT,6.7669286025269705e-09
SHY,1.7771245814882242e-09
AGG,8.910109352505543e-10
TIP,5.446430078194549e-10
GBTC,3.990305234331793e-10
BNDX,3.2211543653625054e-10
XLK,2.598245014557868e-10
VUG,2.460521753096259e-10
MTUM,2.329189120937455e-10
EZA,1.2805110053770767e-10
QQQ,1.2774613388861238e-10
EEM,1.2005008868489726e-10
VGK,9.218724261670412e-11
LQD,8.07235807703597e-11
HYG,7.498332207160852e-11
MUB,7.437023138800873e-11
EFA,7.172827900475298e-11
DBA,5.1825535254643213e-11
TLT,4.270888953957299e-11
XLY,4.026780814972275e-11
XLI,3.8766620945945996e-11
SPY,3.852868081091073e-11
VNQI,3.7202076157871596e-11
DBC,3.5181231928826125e-11
ETHA,3.456856095754788e-11
EWZ,3.4425318227256134e-11
VYM,3.400451800352806e-11
XLF,3.169957068787915e-11
CORN,3.0587365081747435e-11
VTV,2.879226518951552e-11
O,2.6085897781987348e-11
USO,2.4952247405912438e-11
ETHE,2.4774904147815436e-11
USMV,2.2485095665365645e-11
QUAL,1.954213246685511e-11
SPLV,1.8058514179225002e-11
INDA,1.652513673512586e-11
SIZE,1.6469560801971828e-11
XLP,1.525394025393927e-11
SCHD,1.4975832138880743e-11
XLV,1.4455894857366683e-11
IWM,1.4399920129542478e-11
XLE,1.4248302496987704e-11
VNQ,1.333966888576663e-11
XLRE,1.3310310260672042e-11
XLB,1.2895654958566595e-11
PSA,1.1302452839267945e-11
